"","word","Count"
"684","papaya",646
"685","takes",646
"686","honeydew",638
"687","mediterranean",634
"688","amount",633
"689","cured",633
"690","resiny",633
"691","production",632
"692","sophisticated",632
"693","leading",630
"694","priced",630
"695","slowly",630
"696","smelling",629
"697","sugary",629
"698","combines",626
"699","slender",625
"700","southern",625
"701","shiraz",624
"702","edges",623
"703","additional",622
"704","expressive",622
"705","truffle",620
"706","2023",619
"707","supported",619
"708","rhã",618
"709","snappy",617
"710","2014",616
"711","loads",616
"712","bell",612
"713","label",612
"714","real",612
"715","fennel",611
"716","meyer",609
"717","named",609
"718","improve",608
"719","wonderful",607
"720","result",606
"721","apricots",605
"722","stony",605
"723","lees",604
"724","flesh",603
"725","moderately",602
"726","closed",600
"727","minerals",599
"728","medicinal",598
"729","syrupy",598
"730","2012",596
"731","bramble",596
"732","drunk",596
"733","true",596
"734","meats",592
"735","vivid",588
"736","whiffs",588
"737","leave",587
"738","champagne",585
"739","compelling",585
"740","mildly",585
"741","shy",585
"742","salt",582
"743","sea",582
"744","drinks",581
"745","combination",580
"746","lends",580
"747","tongue",580
"748","cheese",579
"749","softness",579
"750","wonderfully",578
"751","astringency",577
"752","future",574
"753","holds",574
"754","release",573
"755","river",572
"756","funky",571
"757","riper",571
"758","balances",563
"759","dominates",563
"760","equal",563
"761","appetizing",561
"762","gooseberry",559
"763","mingle",557
"764","dominant",554
"765","includes",554
"766","oaked",554
"767","barbecue",553
"768","nero",550
"769","strawberries",550
"770","burst",548
"771","direct",548
"772","oregano",548
"773","substantial",547
"774","caramelized",544
"775","fat",544
"776","petals",544
"777","chã",542
"778","follow",542
"779","penetrating",542
"780","tilled",542
"781","tone",542
"782","cigar",541
"783","drop",541
"784","hazelnut",539
"785","aromatics",538
"786","built",538
"787","kiwi",538
"788","table",538
"789","hay",537
"790","orchard",536
"791","overly",536
"792","root",536
"793","brightened",535
"794","waves",534
"795","considerable",532
"796","bubbles",531
"797","sample",531
"798","liqueur",530
"799","standard",529
"800","stand",526
"801","huge",523
"802","vegetal",523
"803","decent",522
"804","recall",522
"805","delicately",521
"806","underlying",520
"807","2011",519
"808","pleasantly",519
"809","raisiny",519
"810","worth",519
"811","inky",518
"812","leaving",518
"813","fermentation",517
"814","tension",516
"815","terms",516
"816","2030",515
"817","filled",515
"818","defined",514
"819","saturated",514
"820","dill",512
"821","super",512
"822","pleasure",511
"823","streaks",510
"824","including",509
"825","complete",507
"826","gold",506
"827","resin",506
"828","edgy",505
"829","shape",503
"830","fill",502
"831","peppercorn",500
"832","rare",499
"833","framework",498
"834","promise",497
"835","distinctive",496
"836","bringing",495
"837","sensations",495
"838","coating",494
"839","rock",494
"840","run",494
"841","totally",494
"842","touriga",494
"843","world",494
"844","lengthy",493
"845","blossoms",492
"846","influence",492
"847","fun",491
"848","continue",489
"849","continues",489
"850","nature",487
"851","bay",486
"852","densely",486
"853","prominent",486
"854","unique",486
"855","evident",485
"856","grigio",485
"857","county",483
"858","dimensional",483
"859","italian",483
"860","vintages",483
"861","fare",482
"862","hills",482
"863","crã",481
"864","initially",480
"865","nuanced",480
"866","scented",480
"867","stylish",480
"868","reminiscent",479
"869","expect",478
"870","pairing",478
"871","2024",477
"872","added",477
"873","cuvã",476
"874","pasta",475
"875","pungent",474
"876","roussanne",474
"877","asphalt",473
"878","match",473
"879","nuts",472
"880","2009",471
"881","pineapples",471
"882","brunello",470
"883","limes",470
"884","oregon",468
"885","guava",467
"886","american",466
"887","characteristics",466
"888","providing",466
"889","benefit",465
"890","foods",465
"891","hits",465
"892","sticky",465
"893","tinged",465
"894","vine",465
"895","marks",464
"896","rest",463
"897","port",462
"898","reveal",462
"899","alluring",460
"900","due",460
"901","hit",460
"902","primary",460
"903","pastry",459
"904","upfront",458
"905","fragrance",457
"906","keeping",457
"907","wide",457
"908","iron",455
"909","pork",455
"910","touched",455
"911","oil",454
"912","equally",453
"913","heart",453
"914","scent",453
"915","traditional",453
"916","santa",451
"917","pipe",450
"918","cardamom",449
"919","chicken",449
"920","middle",448
"921","kick",447
"922","seductive",446
"923","sleek",446
"924","waxy",445
"925","flint",444
"926","weighty",444
"927","carmenã",443
"928","northern",442
"929","organically",442
"930","rosemary",442
"931","2013",441
"932","barbera",441
"933","earthiness",441
"934","experience",441
"935","lamb",441
"936","salmon",440
"937","cuts",438
"938","briary",437
"939","create",436
"940","barolo",435
"941","decade",435
"942","nacional",435
"943","plummy",435
"944","garnacha",434
"945","millon",434
"946","healthy",433
"947","past",433
"948","nebbiolo",432
"949","watermelon",432
"950","balancing",431
"951","chard",431
"952","crafted",430
"953","scratchy",430
"954","sunny",430
"955","ruby",429
"956","box",428
"957","teau",428
"958","amounts",427
"959","attractively",427
"960","douro",426
"961","extract",426
"962","scorched",426
"963","tartness",426
"964","brawny",425
"965","brut",425
"966","bursting",424
"967","quince",424
"968","backdrop",422
"969","grand",422
"970","cellaring",421
"971","gewã",421
"972","blueberries",420
"973","powder",420
"974","shine",420
"975","central",417
"976","chalk",417
"977","coastal",417
"978","enjoyment",417
"979","tiny",417
"980","unfold",417
"981","muscular",416
"982","washington",416
"983","farmed",415
"984","fruited",414
"985","life",414
"986","maturity",413
"987","choppy",412
"988","version",412
"989","nuance",411
"990","aromatically",410
"991","meld",410
"992","cooked",408
"993","similar",408
"994","textural",408
"995","underripe",407
"996","juiciness",406
"997","lemons",405
"998","maple",405
"999","pristine",404
"1000","offset",403
"1001","soy",402
"1002","zippy",402
"1003","2017â",401
"1004","grainy",401
"1005","acacia",399
"1006","base",398
"1007","mouthfilling",398
"1008","suggestion",396
"1009","attention",395
"1010","exuberant",395
"1011","faint",395
"1012","saline",395
"1013","luminous",393
"1014","nervy",393
"1015","tense",391
"1016","aggressive",390
"1017","coast",390
"1018","components",390
"1019","prosecco",389
"1020","creek",388
"1021","sonoma",388
"1022","sturdy",388
"1023","energy",386
"1024","lip",386
"1025","poised",384
"1026","molasses",382
"1027","owned",382
"1028","2007",381
"1029","seafood",381
"1030","almonds",380
"1031","heavily",380
"1032","lithe",380
"1033","shines",379
"1034","airing",378
"1035","plays",378
"1036","raisins",378
"1037","barely",377
"1038","beer",377
"1039","massive",376
"1040","2008",375
"1041","block",375
"1042","vein",375
"1043","decant",374
"1044","reserved",374
"1045","air",372
"1046","enhanced",372
"1047","native",372
"1048","crust",371
"1049","elderberry",371
"1050","lemongrass",371
"1051","south",371
"1052","toffee",371
"1053","custard",370
"1054","harmonious",370
"1055","punch",370
"1056","sheer",370
"1057","brightness",369
"1058","preserves",369
"1059","spent",369
"1060","streamlined",369
"1061","sun",369
"1062","supporting",369
"1063","distinct",367
"1064","popcorn",367
"1065","potent",367
"1066","soda",367
"1067","conveys",366
"1068","dust",366
"1069","key",365
"1070","regular",365
"1071","shot",365
"1072","winemaking",365
"1073","component",364
"1074","marmalade",364
"1075","mid",364
"1076","remaining",364
"1077","moist",362
"1078","simply",361
"1079","blast",360
"1080","overtones",359
"1081","compote",358
"1082","creaminess",358
"1083","gently",358
"1084","saint",358
"1085","waft",358
"1086","addition",356
"1087","found",356
"1088","barnyard",355
"1089","rugged",355
"1090","superripe",355
"1091","evolved",352
"1092","mushrooms",352
"1093","organic",351
"1094","knit",350
"1095","lightness",350
"1096","edged",349
"1097","allspice",347
"1098","runs",347
"1099","rztraminer",347
"1100","ideal",346
"1101","initial",346
"1102","rioja",346
"1103","botrytis",345
"1104","leesy",345
"1105","composed",344
"1106","refreshingly",344
"1107","notions",343
"1108","pinots",343
"1109","juniper",342
"1110","produce",342
"1111","underneath",342
"1112","abundant",341
"1113","grace",341
"1114","starting",341
"1115","accompanied",340
"1116","infused",340
"1117","lacking",339
"1118","pronounced",339
"1119","crisply",338
"1120","limited",338
"1121","perlage",338
"1122","roast",338
"1123","rocks",338
"1124","saucy",338
"1125","flinty",337
"1126","informal",337
"1127","beginning",336
"1128","fish",334
"1129","produces",334
"1130","contrast",333
"1131","love",333
"1132","verve",333
"1133","cutting",332
"1134","enjoyed",332
"1135","smacking",332
"1136","spanish",332
"1137","redolent",330
"1138","voluptuous",330
"1139","gamy",329
"1140","oranges",329
"1141","2020â",328
"1142","acre",328
"1143","cloying",328
"1144","extraction",328
"1145","highly",328
"1146","flashy",327
"1147","array",326
"1148","dash",326
"1149","heft",326
"1150","retains",326
"1151","crunchy",325
"1152","darker",325
"1153","laden",325
"1154","petrol",325
"1155","remain",325
"1156","suggestions",325
"1157","animal",324
"1158","completely",324
"1159","decadent",324
"1160","riserva",324
"1161","north",323
"1162","promises",323
"1163","impressively",322
"1164","velvet",322
"1165","dimension",321
"1166","integrate",321
"1167","smoothly",321
"1168","styled",321
"1169","charm",320
"1170","home",320
"1171","narrow",319
"1172","rise",319
"1173","tree",319
"1174","cinsault",318
"1175","d'avola",318
"1176","finished",318
"1177","package",318
"1178","blending",317
"1179","couple",317
"1180","delightful",317
"1181","atop",316
"1182","cracked",316
"1183","moment",315
"1184","cold",314
"1185","packs",314
"1186","popular",314
"1187","tasted",314
"1188","2016â",313
"1189","designate",313
"1190","property",313
"1191","polish",312
"1192","characteristic",311
"1193","lack",311
"1194","means",311
"1195","walnut",311
"1196","carob",310
"1197","granite",309
"1198","allowing",308
"1199","softer",308
"1200","abound",307
"1201","choice",307
"1202","hill",306
"1203","qualities",306
"1204","quick",306
"1205","brã",305
"1206","difficult",305
"1207","fans",305
"1208","restraint",305
"1209","essence",304
"1210","paso",304
"1211","pop",304
"1212","cracker",303
"1213","decanting",303
"1214","2028",302
"1215","clone",302
"1216","sites",302
"1217","youth",302
"1218","terroir",301
"1219","bubbly",300
"1220","delivering",300
"1221","framing",300
"1222","viscous",300
"1223","cooking",299
"1224","fleeting",299
"1225","peachy",299
"1226","cheeses",298
"1227","grapy",298
"1228","helps",297
"1229","imported",297
"1230","dinner",296
"1231","harvest",296
"1232","hinting",296
"1233","evolve",295
"1234","extreme",295
"1235","fair",295
"1236","special",295
"1237","tad",295
"1238","beeswax",293
"1239","brioche",293
"1240","reduced",293
"1241","shadings",293
"1242","day",292
"1243","grã",291
"1244","iris",291
"1245","quaffable",290
"1246","bursts",289
"1247","loamy",289
"1248","ripened",289
"1249","2019â",288
"1250","chenin",288
"1251","punchy",288
"1252","tannat",288
"1253","held",287
"1254","rooty",287
"1255","luxurious",286
"1256","presence",286
"1257","sipper",286
"1258","straight",286
"1259","ager",285
"1260","characterize",285
"1261","refreshment",285
"1262","roundness",285
"1263","sagebrush",285
"1264","spiciness",285
"1265","tonic",285
"1266","tarry",284
"1267","affordable",283
"1268","apparent",283
"1269","classy",283
"1270","field",283
"1271","proper",283
"1272","serve",283
"1273","stunning",282
"1274","precise",281
"1275","unctuous",281
"1276","jelly",279
"1277","job",279
"1278","mulberry",279
"1279","softened",279
"1280","consistent",278
"1281","exhibits",278
"1282","approach",277
"1283","drive",277
"1284","gravel",277
"1285","malvasia",277
"1286","oxidized",277
"1287","ride",277
"1288","carignan",276
"1289","marzipan",276
"1290","premier",276
"1291","sort",276
"1292","chamomile",275
"1293","funk",275
"1294","muted",275
"1295","powerfully",275
"1296","results",275
"1297","road",274
"1298","shavings",274
"1299","versatile",274
"1300","2026",273
"1301","dilute",273
"1302","fore",273
"1303","splash",273
"1304","superb",273
"1305","brand",272
"1306","promising",272
"1307","steady",272
"1308","led",271
"1309","seamless",271
"1310","walla",271
"1311","woodland",271
"1312","fade",270
"1313","peak",270
"1314","pizza",270
"1315","powdered",269
"1316","stem",269
"1317","unoaked",269
"1318","unripe",269
"1319","bark",268
"1320","buy",268
"1321","charming",268
"1322","wiry",268
"1323","class",267
"1324","frothy",267
"1325","fudge",267
"1326","ner",267
"1327","settle",267
"1328","nonetheless",266
"1329","warmer",266
"1330","bottlings",265
"1331","crowd",265
"1332","exceptional",265
"1333","amarone",264
"1334","beauty",264
"1335","lifts",264
"1336","textbook",264
"1337","blocky",263
"1338","chilean",263
"1339","cider",263
"1340","obvious",263
"1341","potpourri",263
"1342","worthy",263
"1343","2005",262
"1344","bittersweet",262
"1345","brilliant",262
"1346","noticeable",262
"1347","stemmy",262
"1348","woodspice",262
"1349","curd",261
"1350","dull",261
"1351","main",261
"1352","sprightly",261
"1353","blackened",260
"1354","cleansing",260
"1355","harsh",260
"1356","layering",260
"1357","mandarin",260
"1358","sipping",260
"1359","complexities",259
"1360","expensive",259
"1361","local",259
"1362","twist",259
"1363","cantaloupe",258
"1364","develops",258
"1365","hickory",258
"1366","incredibly",258
"1367","unwind",258
"1368","water",258
"1369","wave",258
"1370","yielding",258
"1371","angular",257
"1372","clay",257
"1373","lightweight",257
"1374","melted",257
"1375","ultimately",257
"1376","ageworthy",256
"1377","alicante",255
"1378","dusted",255
"1379","lusty",255
"1380","mixes",255
"1381","salad",255
"1382","2006",254
"1383","appearance",254
"1384","cooler",254
"1385","dusting",254
"1386","foamy",254
"1387","hibiscus",254
"1388","swathes",254
"1389","chianti",253
"1390","terrific",253
"1391","fascinating",251
"1392","squeezed",251
"1393","feet",250
"1394","sweetly",250
"1395","indian",249
"1396","spot",249
"1397","stiff",249
"1398","eventually",248
"1399","garnet",248
"1400","muscat",248
"1401","toastiness",248
"1402","meets",246
"1403","chilled",245
"1404","fills",245
"1405","opulence",245
"1406","paste",245
"1407","persist",245
"1408","russian",245
"1409","sliced",244
"1410","spritzy",243
"1411","appears",242
"1412","generously",242
"1413","harmony",242
"1414","mouthful",242
"1415","sensation",242
"1416","stewy",242
"1417","usual",242
"1418","chablis",241
"1419","classico",241
"1420","compost",241
"1421","leaning",241
"1422","proportion",241
"1423","reds",241
"1424","falls",240
"1425","producers",240
"1426","proving",240
"1427","series",240
"1428","burn",239
"1429","call",238
"1430","creates",238
"1431","historic",238
"1432","marsanne",238
"1433","surprising",238
"1434","watery",238
"1435","fades",237
"1436","sipped",237
"1437","surface",237
"1438","ahead",236
"1439","house",236
"1440","lick",236
"1441","parcel",236
"1442","combining",235
"1443","define",235
"1444","dominating",235
"1445","ethereal",235
"1446","invigorating",235
"1447","majority",235
"1448","spritz",235
"1449","flabby",234
"1450","brightens",233
"1451","complement",233
"1452","hand",233
"1453","labeled",233
"1454","picked",233
"1455","revealing",233
"1456","strength",233
"1457","surrounded",232
"1458","widely",232
"1459","zingy",232
"1460","bartlett",231
"1461","corn",231
"1462","garrigue",231
"1463","sets",231
"1464","woven",231
"1465","burgundy",230
"1466","lavish",230
"1467","muddled",230
"1468","olives",230
"1469","reflects",230
"1470","swirl",230
"1471","absolutely",229
"1472","beaujolais",229
"1473","enormously",229
"1474","gripping",229
"1475","manages",229
"1476","morello",229
"1477","outstanding",228
"1478","seemingly",228
"1479","smith",228
"1480","cement",227
"1481","hours",227
"1482","powered",227
"1483","secondary",227
"1484","exciting",226
"1485","drier",225
"1486","force",225
"1487","resulting",225
"1488","seamlessly",225
"1489","bland",224
"1490","covered",224
"1491","display",224
"1492","graham",224
"1493","mind",224
"1494","moscato",224
"1495","solidly",224
"1496","2027",223
"1497","pit",223
"1498","prickly",223
"1499","provence",223
"1500","tuscan",223
"1501","piercing",222
"1502","wraps",222
"1503","begins",220
"1504","sweeter",220
"1505","expansive",218
"1506","blancs",217
"1507","drawing",217
"1508","footed",217
"1509","maintains",217
"1510","peppercorns",217
"1511","reduction",217
